,Total Reward,Optimal Reward,TVD,Cumulative Cost,Stopping Iteration,Standard Deviation,Horizon,Budget,Bandit
primal_dual_ff,6111.285610895816,8284.719700851987,0.0,4256.777313025479,49999.0,41.56398634485024,50000.0,5000.0,False
primal_dual_bandit,4537.846472552779,8284.719700851987,0.0,3825.01236058171,49907.1,2843.0197005931227,50000.0,5000.0,True
adversarial_with_prediction_ff05,7183.255389490019,8284.719700851987,0.0,4616.256212210868,49998.8,33.20867476574493,50000.0,5000.0,False
adversarial_with_prediction_bandit05,7847.239127895302,8284.719700851987,0.0,4986.984645100902,49861.5,530.3779100295466,50000.0,5000.0,True
adversarial_with_prediction_ff09,8060.919447513926,8284.719700851987,0.0,4897.83766743679,49997.2,21.700402092106188,50000.0,5000.0,False
adversarial_with_prediction_bandit09,8099.3407632672115,8284.719700851987,0.0,4983.3543279007035,49835.7,58.43676328367196,50000.0,5000.0,True
adversarial_with_prediction_ff09_mulow,8001.3350696124935,8284.719700851987,0.0,4862.575886306417,49997.4,18.870484719079784,50000.0,5000.0,False
adversarial_with_prediction_bandit09_mulow,8060.111159587554,8284.719700851987,0.0,4969.102324329912,49853.0,52.29910877302499,50000.0,5000.0,True
adversarial_with_prediction_ff09_muhigh,5855.5079392772,8284.719700851987,0.0,3526.1017810111466,49998.1,19.813240032777642,50000.0,5000.0,False
adversarial_with_prediction_bandit09_muhigh,5855.5079392772,8284.719700851987,0.0,3526.1017810111466,49998.1,19.813240032777642,50000.0,5000.0,True
